Date;AUD;CAD;EUR;JPY;NZD;NOK;SWK;SWF;GBP
1996-04;0,24;1,88;2,02;1,68;-2,50;0,84;0,47;0,99;0,93
1996-05;-0,03;1,72;1,82;1,57;-2,61;0,79;0,75;0,33;0,69
1996-06;-0,04;1,65;1,81;1,31;-2,69;0,73;0,91;0,39;0,80
1996-07;0,16;1,74;1,74;1,38;-2,99;0,75;1,35;0,30;0,70
1996-08;-0,10;2,05;1,94;1,51;-3,04;0,74;1,68;0,73;0,80
1996-09;-0,22;1,96;1,71;1,05;-3,11;0,77;1,41;1,03;0,50
1996-10;-0,48;2,18;1,72;1,15;-3,00;0,84;1,38;0,88;0,21
1996-11;-0,06;2,50;1,95;1,64;-2,87;1,62;2,18;0,98;0,83
1996-12;0,46;2,55;1,88;1,32;-1,50;1,67;1,85;1,02;0,52
1997-01;0,43;2,43;1,53;1,01;-1,25;1,36;1,34;0,84;0,19
1997-02;0,38;2,25;1,35;1,07;-1,26;1,21;1,50;0,52;0,09
1997-03;0,71;2,35;1,45;0,95;-0,84;1,56;1,83;0,69;0,30
1997-04;0,66;2,39;1,51;0,61;0,08;1,58;1,81;0,50;0,16
1997-05;1,14;2,43;1,62;1,14;-0,52;1,62;1,67;1,25;-0,30
1997-06;1,29;2,47;2,18;1,67;-0,09;1,97;2,04;1,38;0,03
1997-07;0,99;1,87;1,85;1,35;-2,08;1,53;1,48;1,13;-0,47
1997-08;1,07;1,91;1,84;1,14;-1,77;1,67;1,51;1,46;-0,77
1997-09;0,90;1,82;1,83;1,10;-1,53;1,70;1,48;1,45;-0,92
1997-10;0,86;1,42;1,72;1,08;-1,79;1,68;1,44;1,31;-1,12
1997-11;1,12;1,53;1,93;1,45;-0,41;2,20;1,94;1,60;-0,81
1997-12;1,11;1,07;1,68;1,10;-1,93;1,75;1,25;1,74;-1,26
1998-01;0,80;0,86;1,68;1,32;-2,23;1,67;1,08;2,08;-1,34
1998-02;0,88;0,74;1,62;1,20;-2,07;1,46;1,06;2,21;-1,35
1998-03;0,84;0,71;1,40;1,17;-2,84;1,34;0,84;1,71;-1,53
1998-04;0,70;0,42;1,32;1,29;-2,12;1,32;0,67;1,88;-1,60
1998-05;0,58;0,52;1,51;1,13;-1,77;0,84;0,65;1,50;-1,59
1998-06;0,50;0,60;1,46;1,07;-1,74;0,78;0,88;1,30;-1,69
1998-07;0,60;0,54;1,43;1,29;-0,67;0,21;0,82;1,54;-1,60
1998-08;0,13;-0,31;1,24;1,15;0,35;-2,60;0,72;1,72;-1,68
1998-09;0,97;0,34;1,17;1,24;1,54;-2,12;1,08;2,28;-1,73
1998-10;0,84;0,37;1,31;1,24;1,69;-1,97;1,36;2,62;-1,66
1998-11;0,99;0,83;1,15;1,34;2,59;-2,18;1,65;1,64;-1,22
1998-12;0,49;0,27;1,06;1,46;1,10;-2,97;1,11;1,87;-1,41
1999-01;0,56;0,13;0,80;1,73;2,11;-2,62;0,84;1,58;-1,50
1999-02;0,46;0,05;0,69;1,80;0,90;-3,07;0,84;1,27;-1,23
1999-03;0,42;-0,02;0,76;1,35;0,91;-2,48;1,10;1,12;-1,03
1999-04;0,25;-0,03;1,00;1,17;0,83;-2,69;0,91;1,29;-1,04
1999-05;0,40;0,01;0,84;0,65;0,91;-2,50;0,78;1,12;-1,07
